timestamp,username,ip_address,status
2025-04-19 10:01:02,admin,192.168.1.10,FAILED
2025-04-19 10:01:15,user1,192.168.1.11,FAILED
2025-04-19 10:01:22,admin,192.168.1.10,FAILED
2025-04-19 10:01:30,user1,192.168.1.11,SUCCESS
2025-04-19 10:01:45,admin,192.168.1.10,FAILED
2025-04-19 10:02:00,user2,192.168.1.12,FAILED
2025-04-19 10:02:05,user3,192.168.1.13,FAILED
2025-04-19 10:02:10,user3,192.168.1.13,FAILED
2025-04-19 10:02:15,user3,192.168.1.13,FAILED
2025-04-19 10:03:12,user4,192.168.1.14,FAILED
2025-04-19 10:03:14,user5,192.168.1.15,FAILED
2025-04-19 10:04:12,user4,192.168.1.14,FAILED
2025-04-19 10:04:27,user6,192.168.1.16,FAILED
2025-04-19 10:04:29,user5,192.168.1.15,SUCCESS
2025-04-19 10:05:12,user4,192.168.1.14,FAILED
2025-04-19 10:05:27,user6,192.168.1.16,FAILED
2025-04-19 10:04:30,user6,192.168.1.16,FAILED